32,1,2,1,4,3,5,2
0,26,6,6,4,2,2,4
1,7,26,2,0,5,2,7
3,4,1,30,11,0,1,0
0,2,3,16,16,6,5,2
2,0,5,1,4,30,6,2
4,0,1,1,9,7,26,2
5,6,7,1,3,4,0,24
